archivo,clase_actual,categoria,motivo_auditoria,sugerencia_estadistica,confianza_estadistica,prioridad,decision_humana,observaciones,revisado,fecha_revision
ls_0001.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0003.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0016.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0023.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0024.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0049.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0050.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0058.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0062.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0063.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0064.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0065.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0066.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0068.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0069.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0073.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0075.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0082.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0083.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0084.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0087.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0088.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0090.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0091.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0093.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0124.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0127.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0130.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0133.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0144.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0148.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0156.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0162.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0163.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0188.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0196.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0215.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0226.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0227.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0236.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0241.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0266.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0278.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0326.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0350.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0355.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0364.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
ls_0386.jpg,saludable,-,"marron-centro alto (>=45%) sin verde, con textura de deterioro",probablemente contaminado,0.9,CRITICO,,,,
